,date,state,deaths,cases
1125,2020-06-18,Entre Ríos,44.0,2.0
1482,2020-06-18,La Rioja,12.0,1.0
352,2020-06-19,CABA,1637.0,24.0
1797,2020-06-19,Misiones,11.0,1.0
93,2020-06-19,Buenos Aires,2458.0,33.0
1629,2020-06-19,Mendoza,31.0,1.0
591,2020-06-19,Chaco,106.0,8.0
2028,2020-06-19,Río Negro,47.0,1.0
1874,2020-06-19,Neuquén,25.0,2.0
592,2020-06-20,Chaco,140.0,1.0
2029,2020-06-20,Río Negro,57.0,2.0
94,2020-06-20,Buenos Aires,3212.0,32.0
353,2020-06-20,CABA,1695.0,28.0
1875,2020-06-20,Neuquén,16.0,1.0
354,2020-06-21,CABA,1544.0,28.0
593,2020-06-21,Chaco,76.0,1.0
95,2020-06-21,Buenos Aires,2374.0,46.0
2030,2020-06-21,Río Negro,44.0,2.0
1126,2020-06-21,Entre Ríos,70.0,3.0
941,2020-06-22,Córdoba,261.0,1.0
2598,2020-06-22,Santa Fe,81.0,1.0
1798,2020-06-22,Misiones,13.0,1.0
96,2020-06-22,Buenos Aires,3159.0,44.0
1267,2020-06-22,Jujuy,3.0,1.0
355,2020-06-22,CABA,1839.0,29.0
1630,2020-06-22,Mendoza,31.0,1.0
2182,2020-06-22,Salta,5.0,1.0
2031,2020-06-22,Río Negro,57.0,2.0
594,2020-06-22,Chaco,88.0,4.0
1127,2020-06-23,Entre Ríos,74.0,1.0
356,2020-06-23,CABA,1680.0,34.0
97,2020-06-23,Buenos Aires,2771.0,43.0
2032,2020-06-23,Río Negro,55.0,1.0
1876,2020-06-23,Neuquén,24.0,2.0
1631,2020-06-23,Mendoza,29.0,2.0
595,2020-06-23,Chaco,71.0,3.0
357,2020-06-24,CABA,1639.0,23.0
1128,2020-06-24,Entre Ríos,43.0,2.0
2033,2020-06-24,Río Negro,59.0,1.0
1799,2020-06-24,Misiones,4.0,1.0
1877,2020-06-24,Neuquén,36.0,1.0
98,2020-06-24,Buenos Aires,2697.0,50.0
596,2020-06-24,Chaco,52.0,1.0
763,2020-06-25,Chubut,16.0,2.0
358,2020-06-25,CABA,1515.0,28.0
597,2020-06-25,Chaco,74.0,3.0
99,2020-06-25,Buenos Aires,2756.0,42.0
359,2020-06-26,CABA,1661.0,35.0
598,2020-06-26,Chaco,57.0,3.0
100,2020-06-26,Buenos Aires,2977.0,62.0
2034,2020-06-26,Río Negro,58.0,1.0
1129,2020-06-26,Entre Ríos,45.0,1.0
1800,2020-06-27,Misiones,8.0,2.0
1878,2020-06-27,Neuquén,30.0,1.0
1632,2020-06-27,Mendoza,20.0,2.0
599,2020-06-27,Chaco,74.0,2.0
1483,2020-06-27,La Rioja,9.0,1.0
2461,2020-06-27,Santa Cruz,1.0,1.0
1130,2020-06-27,Entre Ríos,42.0,1.0
942,2020-06-27,Córdoba,159.0,1.0
101,2020-06-27,Buenos Aires,2618.0,61.0
360,2020-06-27,CABA,1483.0,34.0
361,2020-06-28,CABA,1359.0,28.0
1268,2020-06-28,Jujuy,6.0,1.0
600,2020-06-28,Chaco,72.0,3.0
102,2020-06-28,Buenos Aires,2711.0,54.0
1801,2020-06-28,Misiones,4.0,1.0
1633,2020-06-28,Mendoza,25.0,2.0
1879,2020-06-28,Neuquén,25.0,1.0
1131,2020-06-29,Entre Ríos,34.0,3.0
362,2020-06-29,CABA,1737.0,29.0
1484,2020-06-29,La Rioja,14.0,1.0
601,2020-06-29,Chaco,74.0,3.0
103,2020-06-29,Buenos Aires,2939.0,42.0
1132,2020-06-30,Entre Ríos,34.0,2.0
1802,2020-06-30,Misiones,4.0,1.0
602,2020-06-30,Chaco,50.0,2.0
104,2020-06-30,Buenos Aires,2774.0,69.0
363,2020-06-30,CABA,1602.0,30.0
1269,2020-07-01,Jujuy,19.0,2.0
1803,2020-07-01,Misiones,2.0,3.0
1133,2020-07-01,Entre Ríos,56.0,2.0
2599,2020-07-01,Santa Fe,62.0,1.0
2183,2020-07-01,Salta,10.0,2.0
603,2020-07-01,Chaco,87.0,5.0
105,2020-07-01,Buenos Aires,3826.0,82.0
364,2020-07-01,CABA,2050.0,34.0
2035,2020-07-02,Río Negro,46.0,1.0
1634,2020-07-02,Mendoza,35.0,1.0
2184,2020-07-02,Salta,5.0,1.0
1880,2020-07-02,Neuquén,26.0,1.0
106,2020-07-02,Buenos Aires,2810.0,71.0
365,2020-07-02,CABA,1587.0,37.0
943,2020-07-02,Córdoba,206.0,1.0
604,2020-07-02,Chaco,65.0,2.0
2185,2020-07-03,Salta,11.0,1.0
1134,2020-07-03,Entre Ríos,39.0,1.0
2600,2020-07-03,Santa Fe,60.0,2.0
107,2020-07-03,Buenos Aires,3217.0,58.0
1881,2020-07-03,Neuquén,29.0,2.0
944,2020-07-03,Córdoba,195.0,1.0
366,2020-07-03,CABA,1720.0,36.0
605,2020-07-03,Chaco,71.0,7.0
2601,2020-07-04,Santa Fe,28.0,1.0
1270,2020-07-04,Jujuy,5.0,1.0
108,2020-07-04,Buenos Aires,2867.0,91.0
1882,2020-07-04,Neuquén,33.0,2.0
606,2020-07-04,Chaco,56.0,3.0
367,2020-07-04,CABA,1577.0,32.0
1135,2020-07-04,Entre Ríos,39.0,1.0
1136,2020-07-05,Entre Ríos,40.0,5.0
607,2020-07-05,Chaco,54.0,1.0
2036,2020-07-05,Río Negro,49.0,3.0
2186,2020-07-05,Salta,10.0,1.0
1271,2020-07-05,Jujuy,9.0,2.0
1635,2020-07-05,Mendoza,27.0,1.0
368,2020-07-05,CABA,1566.0,51.0
1883,2020-07-05,Neuquén,30.0,1.0
109,2020-07-05,Buenos Aires,3020.0,93.0
2037,2020-07-06,Río Negro,50.0,2.0
608,2020-07-06,Chaco,82.0,1.0
369,2020-07-06,CABA,1757.0,30.0
1485,2020-07-06,La Rioja,6.0,1.0
1272,2020-07-06,Jujuy,12.0,1.0
1137,2020-07-06,Entre Ríos,65.0,1.0
110,2020-07-06,Buenos Aires,3513.0,79.0
1636,2020-07-06,Mendoza,42.0,1.0
111,2020-07-07,Buenos Aires,3443.0,81.0
1138,2020-07-07,Entre Ríos,73.0,3.0
370,2020-07-07,CABA,1810.0,44.0
1273,2020-07-07,Jujuy,14.0,1.0
1637,2020-07-08,Mendoza,57.0,2.0
112,2020-07-08,Buenos Aires,3233.0,103.0
1274,2020-07-08,Jujuy,6.0,2.0
1139,2020-07-08,Entre Ríos,78.0,2.0
2602,2020-07-08,Santa Fe,54.0,1.0
2038,2020-07-08,Río Negro,54.0,2.0
609,2020-07-08,Chaco,78.0,5.0
371,2020-07-08,CABA,1702.0,54.0
764,2020-07-09,Chubut,59.0,1.0
1275,2020-07-09,Jujuy,4.0,1.0
1140,2020-07-09,Entre Ríos,78.0,4.0
2603,2020-07-09,Santa Fe,60.0,1.0
2039,2020-07-09,Río Negro,56.0,1.0
2187,2020-07-09,Salta,6.0,3.0
372,2020-07-09,CABA,1694.0,43.0
1804,2020-07-09,Misiones,2.0,1.0
113,2020-07-09,Buenos Aires,3100.0,86.0
1486,2020-07-09,La Rioja,7.0,1.0
610,2020-07-09,Chaco,85.0,2.0
1805,2020-07-10,Misiones,4.0,2.0
2040,2020-07-10,Río Negro,66.0,3.0
1884,2020-07-10,Neuquén,32.0,1.0
114,2020-07-10,Buenos Aires,4429.0,112.0
373,2020-07-10,CABA,1797.0,51.0
1487,2020-07-10,La Rioja,5.0,1.0
611,2020-07-10,Chaco,77.0,4.0
612,2020-07-11,Chaco,81.0,5.0
1806,2020-07-11,Misiones,2.0,1.0
945,2020-07-11,Córdoba,247.0,1.0
115,2020-07-11,Buenos Aires,3259.0,109.0
1276,2020-07-11,Jujuy,5.0,2.0
374,2020-07-11,CABA,1686.0,49.0
1141,2020-07-12,Entre Ríos,127.0,3.0
613,2020-07-12,Chaco,67.0,3.0
1807,2020-07-12,Misiones,3.0,2.0
375,2020-07-12,CABA,1693.0,49.0
116,2020-07-12,Buenos Aires,3781.0,88.0
1277,2020-07-12,Jujuy,11.0,4.0
614,2020-07-13,Chaco,116.0,6.0
1142,2020-07-13,Entre Ríos,128.0,4.0
376,2020-07-13,CABA,2039.0,58.0
117,2020-07-13,Buenos Aires,4422.0,95.0
2041,2020-07-13,Río Negro,75.0,1.0
1638,2020-07-13,Mendoza,65.0,1.0
946,2020-07-13,Córdoba,424.0,1.0
1278,2020-07-13,Jujuy,20.0,2.0
1808,2020-07-13,Misiones,4.0,1.0
615,2020-07-14,Chaco,116.0,3.0
2042,2020-07-14,Río Negro,72.0,2.0
1279,2020-07-14,Jujuy,36.0,2.0
118,2020-07-14,Buenos Aires,4158.0,101.0
1488,2020-07-14,La Rioja,6.0,2.0
1143,2020-07-14,Entre Ríos,88.0,2.0
377,2020-07-14,CABA,1900.0,70.0
1885,2020-07-14,Neuquén,41.0,1.0
119,2020-07-15,Buenos Aires,4701.0,119.0
616,2020-07-15,Chaco,122.0,2.0
2604,2020-07-15,Santa Fe,70.0,2.0
1809,2020-07-15,Misiones,1.0,3.0
1639,2020-07-15,Mendoza,64.0,2.0
2188,2020-07-15,Salta,11.0,1.0
1144,2020-07-15,Entre Ríos,80.0,3.0
378,2020-07-15,CABA,2046.0,57.0
1280,2020-07-15,Jujuy,19.0,4.0
120,2020-07-16,Buenos Aires,4047.0,90.0
617,2020-07-16,Chaco,76.0,2.0
1281,2020-07-16,Jujuy,12.0,5.0
947,2020-07-16,Córdoba,314.0,1.0
1640,2020-07-16,Mendoza,54.0,3.0
2734,2020-07-16,Santiago del Estero,4.0,1.0
2189,2020-07-16,Salta,14.0,1.0
2043,2020-07-16,Río Negro,62.0,1.0
379,2020-07-16,CABA,1898.0,61.0
765,2020-07-17,Chubut,19.0,1.0
380,2020-07-17,CABA,2125.0,60.0
2044,2020-07-17,Río Negro,62.0,3.0
121,2020-07-17,Buenos Aires,4415.0,106.0
1145,2020-07-17,Entre Ríos,69.0,1.0
618,2020-07-17,Chaco,104.0,2.0
2605,2020-07-17,Santa Fe,86.0,1.0
1489,2020-07-17,La Rioja,8.0,2.0
1282,2020-07-17,Jujuy,61.0,3.0
1641,2020-07-17,Mendoza,74.0,2.0
1810,2020-07-17,Misiones,4.0,1.0
122,2020-07-18,Buenos Aires,4592.0,126.0
619,2020-07-18,Chaco,102.0,3.0
1642,2020-07-18,Mendoza,52.0,2.0
1490,2020-07-18,La Rioja,7.0,1.0
2606,2020-07-18,Santa Fe,66.0,1.0
858,2020-07-18,Corrientes,2.0,1.0
948,2020-07-18,Córdoba,292.0,1.0
381,2020-07-18,CABA,1903.0,68.0
1283,2020-07-18,Jujuy,19.0,1.0
1811,2020-07-19,Misiones,4.0,1.0
123,2020-07-19,Buenos Aires,4243.0,116.0
1643,2020-07-19,Mendoza,56.0,1.0
2045,2020-07-19,Río Negro,72.0,4.0
382,2020-07-19,CABA,1968.0,67.0
2190,2020-07-19,Salta,16.0,1.0
620,2020-07-19,Chaco,101.0,2.0
1284,2020-07-19,Jujuy,31.0,1.0
383,2020-07-20,CABA,2581.0,68.0
124,2020-07-20,Buenos Aires,6858.0,115.0
1812,2020-07-20,Misiones,9.0,1.0
1285,2020-07-20,Jujuy,61.0,2.0
621,2020-07-20,Chaco,159.0,2.0
1146,2020-07-20,Entre Ríos,92.0,2.0
949,2020-07-20,Córdoba,381.0,3.0
2046,2020-07-20,Río Negro,106.0,3.0
1644,2020-07-20,Mendoza,83.0,1.0
622,2020-07-21,Chaco,109.0,2.0
2607,2020-07-21,Santa Fe,90.0,2.0
2191,2020-07-21,Salta,10.0,1.0
2047,2020-07-21,Río Negro,68.0,1.0
384,2020-07-21,CABA,2116.0,69.0
1645,2020-07-21,Mendoza,64.0,1.0
125,2020-07-21,Buenos Aires,4497.0,128.0
950,2020-07-21,Córdoba,295.0,1.0
1286,2020-07-21,Jujuy,28.0,7.0
1491,2020-07-21,La Rioja,5.0,1.0
1147,2020-07-21,Entre Ríos,62.0,4.0
1287,2020-07-22,Jujuy,56.0,2.0
126,2020-07-22,Buenos Aires,4488.0,132.0
385,2020-07-22,CABA,2051.0,66.0
1492,2020-07-22,La Rioja,4.0,1.0
2048,2020-07-22,Río Negro,89.0,1.0
2192,2020-07-22,Salta,14.0,1.0
1148,2020-07-22,Entre Ríos,60.0,2.0
1646,2020-07-22,Mendoza,77.0,2.0
623,2020-07-22,Chaco,64.0,2.0
386,2020-07-23,CABA,1926.0,54.0
2193,2020-07-23,Salta,7.0,1.0
1288,2020-07-23,Jujuy,37.0,1.0
1647,2020-07-23,Mendoza,71.0,3.0
624,2020-07-23,Chaco,69.0,5.0
1886,2020-07-23,Neuquén,57.0,1.0
127,2020-07-23,Buenos Aires,4385.0,110.0
2049,2020-07-24,Río Negro,90.0,3.0
128,2020-07-24,Buenos Aires,4826.0,124.0
2462,2020-07-24,Santa Cruz,22.0,1.0
1648,2020-07-24,Mendoza,46.0,1.0
1289,2020-07-24,Jujuy,42.0,3.0
1149,2020-07-24,Entre Ríos,71.0,1.0
387,2020-07-24,CABA,1857.0,71.0
951,2020-07-24,Córdoba,210.0,1.0
625,2020-07-24,Chaco,71.0,1.0
388,2020-07-25,CABA,1739.0,45.0
2050,2020-07-25,Río Negro,94.0,1.0
129,2020-07-25,Buenos Aires,5240.0,118.0
2608,2020-07-25,Santa Fe,96.0,2.0
1649,2020-07-25,Mendoza,75.0,4.0
626,2020-07-25,Chaco,86.0,2.0
1290,2020-07-25,Jujuy,30.0,3.0
1150,2020-07-25,Entre Ríos,72.0,2.0
1493,2020-07-26,La Rioja,6.0,1.0
130,2020-07-26,Buenos Aires,5057.0,132.0
2194,2020-07-26,Salta,17.0,2.0
389,2020-07-26,CABA,1760.0,59.0
2051,2020-07-26,Río Negro,120.0,1.0
2825,2020-07-26,Tierra del Fuego,78.0,1.0
627,2020-07-26,Chaco,80.0,3.0
2463,2020-07-26,Santa Cruz,31.0,1.0
1650,2020-07-26,Mendoza,70.0,2.0
1813,2020-07-26,Misiones,3.0,1.0
952,2020-07-26,Córdoba,234.0,1.0
1291,2020-07-26,Jujuy,34.0,2.0
2609,2020-07-27,Santa Fe,117.0,2.0
1494,2020-07-27,La Rioja,9.0,1.0
1651,2020-07-27,Mendoza,92.0,4.0
390,2020-07-27,CABA,2291.0,74.0
628,2020-07-27,Chaco,101.0,2.0
131,2020-07-27,Buenos Aires,6319.0,141.0
1814,2020-07-27,Misiones,6.0,1.0
1292,2020-07-27,Jujuy,73.0,3.0
2826,2020-07-27,Tierra del Fuego,115.0,1.0
2052,2020-07-27,Río Negro,141.0,1.0
2195,2020-07-27,Salta,28.0,2.0
1151,2020-07-27,Entre Ríos,78.0,3.0
2464,2020-07-28,Santa Cruz,30.0,1.0
2053,2020-07-28,Río Negro,142.0,3.0
1293,2020-07-28,Jujuy,43.0,3.0
132,2020-07-28,Buenos Aires,5272.0,138.0
1152,2020-07-28,Entre Ríos,75.0,3.0
1416,2020-07-28,La Pampa,79.0,1.0
391,2020-07-28,CABA,2008.0,60.0
1495,2020-07-28,La Rioja,9.0,1.0
1652,2020-07-28,Mendoza,79.0,4.0
629,2020-07-28,Chaco,96.0,4.0
1815,2020-07-28,Misiones,4.0,1.0
953,2020-07-28,Córdoba,181.0,3.0
1653,2020-07-29,Mendoza,81.0,6.0
133,2020-07-29,Buenos Aires,4793.0,147.0
2610,2020-07-29,Santa Fe,102.0,1.0
954,2020-07-29,Córdoba,198.0,2.0
766,2020-07-29,Chubut,28.0,1.0
1294,2020-07-29,Jujuy,66.0,8.0
2054,2020-07-29,Río Negro,136.0,2.0
1816,2020-07-29,Misiones,1.0,1.0
1887,2020-07-29,Neuquén,51.0,1.0
630,2020-07-29,Chaco,76.0,2.0
392,2020-07-29,CABA,2040.0,67.0
955,2020-07-30,Córdoba,203.0,1.0
2055,2020-07-30,Río Negro,169.0,3.0
2611,2020-07-30,Santa Fe,85.0,1.0
2465,2020-07-30,Santa Cruz,37.0,1.0
134,2020-07-30,Buenos Aires,4831.0,146.0
1295,2020-07-30,Jujuy,65.0,7.0
631,2020-07-30,Chaco,77.0,3.0
1654,2020-07-30,Mendoza,63.0,3.0
393,2020-07-30,CABA,2110.0,66.0
2466,2020-07-31,Santa Cruz,50.0,1.0
2056,2020-07-31,Río Negro,156.0,2.0
394,2020-07-31,CABA,2213.0,53.0
1296,2020-07-31,Jujuy,102.0,5.0
632,2020-07-31,Chaco,69.0,2.0
2940,2020-07-31,Tucumán,60.0,1.0
1655,2020-07-31,Mendoza,111.0,1.0
859,2020-07-31,Corrientes,1.0,1.0
2827,2020-07-31,Tierra del Fuego,98.0,1.0
135,2020-07-31,Buenos Aires,5176.0,144.0
2196,2020-07-31,Salta,27.0,1.0
2612,2020-07-31,Santa Fe,102.0,4.0
1496,2020-07-31,La Rioja,2.0,2.0
956,2020-08-01,Córdoba,201.0,1.0
2828,2020-08-01,Tierra del Fuego,126.0,1.0
136,2020-08-01,Buenos Aires,7763.0,136.0
1153,2020-08-01,Entre Ríos,168.0,1.0
1297,2020-08-01,Jujuy,65.0,6.0
2057,2020-08-01,Río Negro,207.0,1.0
395,2020-08-01,CABA,2534.0,55.0
633,2020-08-01,Chaco,84.0,2.0
1265,2020-08-01,Formosa,2.0,1.0
1656,2020-08-01,Mendoza,91.0,6.0
396,2020-08-02,CABA,2320.0,79.0
634,2020-08-02,Chaco,85.0,6.0
1298,2020-08-02,Jujuy,57.0,6.0
1888,2020-08-02,Neuquén,77.0,2.0
2058,2020-08-02,Río Negro,185.0,2.0
1657,2020-08-02,Mendoza,71.0,7.0
2197,2020-08-02,Salta,20.0,1.0
2613,2020-08-02,Santa Fe,140.0,1.0
957,2020-08-02,Córdoba,186.0,1.0
1154,2020-08-02,Entre Ríos,128.0,3.0
137,2020-08-02,Buenos Aires,5901.0,154.0
2467,2020-08-02,Santa Cruz,80.0,1.0
1299,2020-08-03,Jujuy,98.0,6.0
397,2020-08-03,CABA,2767.0,59.0
1497,2020-08-03,La Rioja,7.0,2.0
1155,2020-08-03,Entre Ríos,183.0,1.0
1817,2020-08-03,Misiones,8.0,2.0
635,2020-08-03,Chaco,85.0,5.0
2198,2020-08-03,Salta,44.0,2.0
138,2020-08-03,Buenos Aires,7193.0,162.0
1658,2020-08-03,Mendoza,118.0,3.0
958,2020-08-03,Córdoba,207.0,3.0
2059,2020-08-03,Río Negro,191.0,2.0
1889,2020-08-03,Neuquén,98.0,1.0
2060,2020-08-04,Río Negro,190.0,3.0
2614,2020-08-04,Santa Fe,172.0,1.0
2941,2020-08-04,Tucumán,48.0,1.0
1498,2020-08-04,La Rioja,6.0,1.0
398,2020-08-04,CABA,2302.0,57.0
139,2020-08-04,Buenos Aires,6204.0,146.0
1659,2020-08-04,Mendoza,98.0,4.0
1818,2020-08-04,Misiones,6.0,1.0
2829,2020-08-04,Tierra del Fuego,131.0,1.0
1300,2020-08-04,Jujuy,110.0,12.0
636,2020-08-04,Chaco,79.0,2.0
959,2020-08-04,Córdoba,178.0,1.0
399,2020-08-05,CABA,2351.0,69.0
1301,2020-08-05,Jujuy,83.0,4.0
1890,2020-08-05,Neuquén,96.0,2.0
1660,2020-08-05,Mendoza,90.0,3.0
1156,2020-08-05,Entre Ríos,133.0,3.0
637,2020-08-05,Chaco,95.0,2.0
2061,2020-08-05,Río Negro,208.0,2.0
960,2020-08-05,Córdoba,130.0,3.0
2830,2020-08-05,Tierra del Fuego,89.0,1.0
140,2020-08-05,Buenos Aires,5931.0,156.0
2199,2020-08-05,Salta,62.0,2.0
2615,2020-08-06,Santa Fe,139.0,4.0
1499,2020-08-06,La Rioja,16.0,1.0
1891,2020-08-06,Neuquén,91.0,1.0
961,2020-08-06,Córdoba,133.0,7.0
2062,2020-08-06,Río Negro,207.0,2.0
638,2020-08-06,Chaco,83.0,4.0
400,2020-08-06,CABA,2261.0,66.0
2200,2020-08-06,Salta,53.0,2.0
1302,2020-08-06,Jujuy,47.0,5.0
1661,2020-08-06,Mendoza,85.0,2.0
141,2020-08-06,Buenos Aires,5647.0,172.0
1662,2020-08-07,Mendoza,112.0,2.0
2201,2020-08-07,Salta,59.0,1.0
142,2020-08-07,Buenos Aires,6121.0,164.0
2468,2020-08-07,Santa Cruz,63.0,1.0
962,2020-08-07,Córdoba,137.0,1.0
2831,2020-08-07,Tierra del Fuego,91.0,2.0
401,2020-08-07,CABA,2272.0,56.0
639,2020-08-07,Chaco,87.0,1.0
1303,2020-08-07,Jujuy,102.0,4.0
1500,2020-08-07,La Rioja,25.0,2.0
402,2020-08-08,CABA,2143.0,44.0
1663,2020-08-08,Mendoza,101.0,3.0
1819,2020-08-08,Misiones,3.0,1.0
143,2020-08-08,Buenos Aires,6077.0,165.0
963,2020-08-08,Córdoba,116.0,2.0
640,2020-08-08,Chaco,68.0,1.0
2063,2020-08-08,Río Negro,227.0,7.0
1304,2020-08-08,Jujuy,72.0,6.0
2064,2020-08-09,Río Negro,156.0,4.0
1664,2020-08-09,Mendoza,91.0,4.0
2616,2020-08-09,Santa Fe,133.0,1.0
964,2020-08-09,Córdoba,154.0,4.0
1305,2020-08-09,Jujuy,57.0,7.0
144,2020-08-09,Buenos Aires,5605.0,149.0
641,2020-08-09,Chaco,56.0,2.0
403,2020-08-09,CABA,2058.0,67.0
2832,2020-08-09,Tierra del Fuego,92.0,1.0
2617,2020-08-10,Santa Fe,208.0,3.0
2202,2020-08-10,Salta,111.0,1.0
1892,2020-08-10,Neuquén,133.0,1.0
1501,2020-08-10,La Rioja,33.0,2.0
965,2020-08-10,Córdoba,176.0,2.0
1157,2020-08-10,Entre Ríos,192.0,2.0
145,2020-08-10,Buenos Aires,8135.0,174.0
642,2020-08-10,Chaco,105.0,3.0
1820,2020-08-10,Misiones,5.0,1.0
1306,2020-08-10,Jujuy,160.0,5.0
2065,2020-08-10,Río Negro,214.0,5.0
1665,2020-08-10,Mendoza,123.0,5.0
404,2020-08-10,CABA,2656.0,60.0
2833,2020-08-10,Tierra del Fuego,125.0,1.0
1158,2020-08-11,Entre Ríos,143.0,1.0
2942,2020-08-11,Tucumán,70.0,2.0
643,2020-08-11,Chaco,61.0,2.0
2834,2020-08-11,Tierra del Fuego,91.0,2.0
2066,2020-08-11,Río Negro,166.0,3.0
146,2020-08-11,Buenos Aires,5557.0,133.0
2618,2020-08-11,Santa Fe,177.0,3.0
405,2020-08-11,CABA,2272.0,56.0
767,2020-08-11,Chubut,32.0,1.0
1821,2020-08-11,Misiones,6.0,1.0
966,2020-08-11,Córdoba,155.0,3.0
1307,2020-08-11,Jujuy,90.0,5.0
1666,2020-08-11,Mendoza,97.0,5.0
1159,2020-08-12,Entre Ríos,180.0,2.0
644,2020-08-12,Chaco,88.0,5.0
1502,2020-08-12,La Rioja,13.0,2.0
1667,2020-08-12,Mendoza,93.0,4.0
1308,2020-08-12,Jujuy,107.0,2.0
2067,2020-08-12,Río Negro,176.0,3.0
147,2020-08-12,Buenos Aires,5526.0,156.0
2469,2020-08-12,Santa Cruz,81.0,1.0
967,2020-08-12,Córdoba,127.0,1.0
2619,2020-08-12,Santa Fe,183.0,6.0
406,2020-08-12,CABA,2429.0,74.0
2203,2020-08-12,Salta,87.0,2.0
1160,2020-08-13,Entre Ríos,186.0,2.0
2068,2020-08-13,Río Negro,148.0,3.0
1309,2020-08-13,Jujuy,84.0,12.0
1668,2020-08-13,Mendoza,88.0,5.0
407,2020-08-13,CABA,2271.0,66.0
645,2020-08-13,Chaco,86.0,4.0
2835,2020-08-13,Tierra del Fuego,77.0,2.0
2204,2020-08-13,Salta,91.0,1.0
1893,2020-08-13,Neuquén,107.0,1.0
2620,2020-08-13,Santa Fe,191.0,1.0
148,2020-08-13,Buenos Aires,5127.0,162.0
2205,2020-08-14,Salta,125.0,5.0
1310,2020-08-14,Jujuy,124.0,7.0
2943,2020-08-14,Tucumán,76.0,2.0
408,2020-08-14,CABA,2265.0,70.0
1669,2020-08-14,Mendoza,107.0,7.0
149,2020-08-14,Buenos Aires,5405.0,160.0
646,2020-08-14,Chaco,60.0,6.0
2836,2020-08-14,Tierra del Fuego,67.0,3.0
1161,2020-08-14,Entre Ríos,192.0,3.0
647,2020-08-15,Chaco,94.0,2.0
2470,2020-08-15,Santa Cruz,72.0,2.0
2621,2020-08-15,Santa Fe,224.0,2.0
968,2020-08-15,Córdoba,163.0,5.0
2837,2020-08-15,Tierra del Fuego,67.0,2.0
1162,2020-08-15,Entre Ríos,211.0,2.0
2206,2020-08-15,Salta,110.0,3.0
150,2020-08-15,Buenos Aires,5756.0,144.0
1670,2020-08-15,Mendoza,109.0,4.0
1503,2020-08-15,La Rioja,37.0,2.0
1311,2020-08-15,Jujuy,96.0,6.0
2069,2020-08-15,Río Negro,164.0,6.0
409,2020-08-15,CABA,1956.0,64.0
2070,2020-08-16,Río Negro,195.0,2.0
1163,2020-08-16,Entre Ríos,202.0,3.0
648,2020-08-16,Chaco,94.0,3.0
1671,2020-08-16,Mendoza,135.0,2.0
1417,2020-08-16,La Pampa,28.0,1.0
2207,2020-08-16,Salta,99.0,6.0
2838,2020-08-16,Tierra del Fuego,63.0,2.0
151,2020-08-16,Buenos Aires,5311.0,151.0
1894,2020-08-16,Neuquén,96.0,2.0
2622,2020-08-16,Santa Fe,235.0,5.0
969,2020-08-16,Córdoba,134.0,2.0
1312,2020-08-16,Jujuy,110.0,9.0
410,2020-08-16,CABA,2093.0,64.0
411,2020-08-17,CABA,2561.0,64.0
2208,2020-08-17,Salta,158.0,3.0
1672,2020-08-17,Mendoza,135.0,13.0
1504,2020-08-17,La Rioja,37.0,3.0
2071,2020-08-17,Río Negro,201.0,1.0
970,2020-08-17,Córdoba,142.0,3.0
152,2020-08-17,Buenos Aires,6298.0,175.0
649,2020-08-17,Chaco,97.0,2.0
2471,2020-08-17,Santa Cruz,104.0,1.0
2623,2020-08-17,Santa Fe,276.0,2.0
1418,2020-08-17,La Pampa,38.0,1.0
1164,2020-08-17,Entre Ríos,211.0,1.0
1895,2020-08-17,Neuquén,134.0,1.0
1313,2020-08-17,Jujuy,112.0,10.0
1505,2020-08-18,La Rioja,59.0,3.0
1165,2020-08-18,Entre Ríos,239.0,2.0
971,2020-08-18,Córdoba,147.0,4.0
768,2020-08-18,Chubut,80.0,1.0
2944,2020-08-18,Tucumán,141.0,1.0
1896,2020-08-18,Neuquén,139.0,2.0
2209,2020-08-18,Salta,168.0,3.0
1314,2020-08-18,Jujuy,117.0,14.0
153,2020-08-18,Buenos Aires,6809.0,190.0
412,2020-08-18,CABA,2433.0,62.0
1822,2020-08-18,Misiones,9.0,1.0
2839,2020-08-18,Tierra del Fuego,92.0,1.0
1673,2020-08-18,Mendoza,178.0,5.0
2472,2020-08-18,Santa Cruz,101.0,1.0
650,2020-08-18,Chaco,91.0,2.0
2072,2020-08-18,Río Negro,216.0,3.0
2624,2020-08-18,Santa Fe,346.0,5.0
154,2020-08-19,Buenos Aires,5648.0,180.0
413,2020-08-19,CABA,2210.0,63.0
651,2020-08-19,Chaco,52.0,3.0
2625,2020-08-19,Santa Fe,344.0,5.0
1315,2020-08-19,Jujuy,73.0,8.0
2073,2020-08-19,Río Negro,197.0,6.0
1506,2020-08-19,La Rioja,41.0,1.0
972,2020-08-19,Córdoba,149.0,4.0
1674,2020-08-19,Mendoza,161.0,4.0
2210,2020-08-19,Salta,110.0,3.0
1897,2020-08-19,Neuquén,141.0,2.0
2945,2020-08-20,Tucumán,170.0,3.0
2626,2020-08-20,Santa Fe,406.0,5.0
1675,2020-08-20,Mendoza,211.0,8.0
652,2020-08-20,Chaco,72.0,2.0
973,2020-08-20,Córdoba,190.0,2.0
2211,2020-08-20,Salta,188.0,5.0
1898,2020-08-20,Neuquén,188.0,2.0
1166,2020-08-20,Entre Ríos,324.0,4.0
414,2020-08-20,CABA,2477.0,47.0
