,date,prov_x,deaths,cases,lats,lons
1074,2020-03-30,Entre Ríos,12.0,2.0,-32.0588735436448,-59.2014475514635
272,2020-03-30,CABA,298.0,6.0,-34.6144934119689,-58.4458563545429
905,2020-03-30,Córdoba,100.0,1.0,-32.142932663607,-63.8017532741662
2927,2020-03-30,Tucumán,20.0,1.0,-26.947800183078602,-65.3647579441481
2377,2020-03-30,San Luis,5.0,1.0,-33.7577257449137,-66.0281298195836
1859,2020-03-30,Neuquén,17.0,1.0,-38.641757582459896,-70.1185705180601
526,2020-03-30,Chaco,45.0,1.0,-26.3864309061226,-60.76583074386029
12,2020-03-30,Buenos Aires,258.0,5.0,-36.6769415180527,-60.55883198157189
13,2020-03-31,Buenos Aires,254.0,7.0,-36.6769415180527,-60.55883198157189
852,2020-03-31,Corrientes,6.0,1.0,-28.7743047046407,-57.8012191977913
273,2020-03-31,CABA,242.0,6.0,-34.6144934119689,-58.4458563545429
1469,2020-03-31,La Rioja,8.0,1.0,-29.685776298315,-67.18173596944321
2565,2020-03-31,Santa Fe,74.0,1.0,-30.7069271588117,-60.9498369430241
1406,2020-03-31,La Pampa,1.0,1.0,-37.1315537735949,-65.4466546606951
527,2020-03-31,Chaco,30.0,1.0,-26.3864309061226,-60.76583074386029
2928,2020-04-01,Tucumán,27.0,1.0,-26.947800183078602,-65.3647579441481
528,2020-04-01,Chaco,34.0,2.0,-26.3864309061226,-60.76583074386029
2727,2020-04-01,Santiago del Estero,1.0,1.0,-27.7824116550944,-63.252386656858796
274,2020-04-01,CABA,347.0,4.0,-34.6144934119689,-58.4458563545429
2566,2020-04-01,Santa Fe,93.0,2.0,-30.7069271588117,-60.9498369430241
1994,2020-04-01,Río Negro,17.0,1.0,-40.4057957178801,-67.229329893694
14,2020-04-01,Buenos Aires,353.0,6.0,-36.6769415180527,-60.55883198157189
1593,2020-04-01,Mendoza,19.0,2.0,-34.6298873058957,-68.58312281837979
1594,2020-04-02,Mendoza,14.0,2.0,-34.6298873058957,-68.58312281837979
15,2020-04-02,Buenos Aires,316.0,11.0,-36.6769415180527,-60.55883198157189
529,2020-04-02,Chaco,32.0,1.0,-26.3864309061226,-60.76583074386029
2567,2020-04-02,Santa Fe,74.0,1.0,-30.7069271588117,-60.9498369430241
2728,2020-04-02,Santiago del Estero,2.0,1.0,-27.7824116550944,-63.252386656858796
275,2020-04-03,CABA,326.0,5.0,-34.6144934119689,-58.4458563545429
16,2020-04-03,Buenos Aires,320.0,10.0,-36.6769415180527,-60.55883198157189
2568,2020-04-03,Santa Fe,100.0,1.0,-30.7069271588117,-60.9498369430241
2569,2020-04-04,Santa Fe,75.0,1.0,-30.7069271588117,-60.9498369430241
17,2020-04-04,Buenos Aires,310.0,4.0,-36.6769415180527,-60.55883198157189
276,2020-04-04,CABA,311.0,14.0,-34.6144934119689,-58.4458563545429
1595,2020-04-04,Mendoza,21.0,2.0,-34.6298873058957,-68.58312281837979
277,2020-04-05,CABA,257.0,8.0,-34.6144934119689,-58.4458563545429
18,2020-04-05,Buenos Aires,296.0,17.0,-36.6769415180527,-60.55883198157189
906,2020-04-05,Córdoba,111.0,1.0,-32.142932663607,-63.8017532741662
1596,2020-04-05,Mendoza,14.0,1.0,-34.6298873058957,-68.58312281837979
530,2020-04-06,Chaco,33.0,2.0,-26.3864309061226,-60.76583074386029
1860,2020-04-06,Neuquén,18.0,1.0,-38.641757582459896,-70.1185705180601
278,2020-04-06,CABA,313.0,11.0,-34.6144934119689,-58.4458563545429
907,2020-04-06,Córdoba,129.0,2.0,-32.142932663607,-63.8017532741662
1075,2020-04-06,Entre Ríos,17.0,1.0,-32.0588735436448,-59.2014475514635
19,2020-04-06,Buenos Aires,332.0,13.0,-36.6769415180527,-60.55883198157189
1076,2020-04-07,Entre Ríos,10.0,1.0,-32.0588735436448,-59.2014475514635
1995,2020-04-07,Río Negro,20.0,1.0,-40.4057957178801,-67.229329893694
279,2020-04-07,CABA,301.0,5.0,-34.6144934119689,-58.4458563545429
1597,2020-04-07,Mendoza,22.0,2.0,-34.6298873058957,-68.58312281837979
2570,2020-04-07,Santa Fe,61.0,1.0,-30.7069271588117,-60.9498369430241
20,2020-04-07,Buenos Aires,338.0,10.0,-36.6769415180527,-60.55883198157189
1861,2020-04-08,Neuquén,13.0,1.0,-38.641757582459896,-70.1185705180601
1077,2020-04-08,Entre Ríos,10.0,2.0,-32.0588735436448,-59.2014475514635
280,2020-04-08,CABA,306.0,9.0,-34.6144934119689,-58.4458563545429
2571,2020-04-08,Santa Fe,73.0,1.0,-30.7069271588117,-60.9498369430241
2818,2020-04-08,Tierra del Fuego,16.0,1.0,-82.52151781220999,-50.7427486049785
21,2020-04-08,Buenos Aires,355.0,13.0,-36.6769415180527,-60.55883198157189
531,2020-04-08,Chaco,52.0,1.0,-26.3864309061226,-60.76583074386029
2929,2020-04-08,Tucumán,18.0,1.0,-26.947800183078602,-65.3647579441481
1078,2020-04-09,Entre Ríos,20.0,1.0,-32.0588735436448,-59.2014475514635
2572,2020-04-09,Santa Fe,72.0,3.0,-30.7069271588117,-60.9498369430241
2729,2020-04-09,Santiago del Estero,4.0,1.0,-27.7824116550944,-63.252386656858796
22,2020-04-09,Buenos Aires,330.0,13.0,-36.6769415180527,-60.55883198157189
1996,2020-04-09,Río Negro,27.0,2.0,-40.4057957178801,-67.229329893694
1775,2020-04-09,Misiones,6.0,1.0,-26.8753965086829,-54.6516966230371
853,2020-04-09,Corrientes,1.0,1.0,-28.7743047046407,-57.8012191977913
281,2020-04-09,CABA,269.0,18.0,-34.6144934119689,-58.4458563545429
23,2020-04-10,Buenos Aires,469.0,10.0,-36.6769415180527,-60.55883198157189
1079,2020-04-10,Entre Ríos,16.0,5.0,-32.0588735436448,-59.2014475514635
1776,2020-04-10,Misiones,3.0,3.0,-26.8753965086829,-54.6516966230371
282,2020-04-10,CABA,356.0,5.0,-34.6144934119689,-58.4458563545429
24,2020-04-11,Buenos Aires,364.0,8.0,-36.6769415180527,-60.55883198157189
2930,2020-04-11,Tucumán,23.0,2.0,-26.947800183078602,-65.3647579441481
532,2020-04-11,Chaco,60.0,1.0,-26.3864309061226,-60.76583074386029
2174,2020-04-11,Salta,6.0,2.0,-24.2991344492002,-64.8144629600627
908,2020-04-11,Córdoba,129.0,1.0,-32.142932663607,-63.8017532741662
1080,2020-04-11,Entre Ríos,12.0,1.0,-32.0588735436448,-59.2014475514635
283,2020-04-11,CABA,297.0,9.0,-34.6144934119689,-58.4458563545429
1470,2020-04-11,La Rioja,10.0,1.0,-29.685776298315,-67.18173596944321
25,2020-04-12,Buenos Aires,420.0,14.0,-36.6769415180527,-60.55883198157189
1598,2020-04-12,Mendoza,20.0,1.0,-34.6298873058957,-68.58312281837979
284,2020-04-12,CABA,336.0,6.0,-34.6144934119689,-58.4458563545429
285,2020-04-13,CABA,326.0,7.0,-34.6144934119689,-58.4458563545429
1471,2020-04-13,La Rioja,10.0,2.0,-29.685776298315,-67.18173596944321
1599,2020-04-13,Mendoza,23.0,2.0,-34.6298873058957,-68.58312281837979
1997,2020-04-13,Río Negro,28.0,1.0,-40.4057957178801,-67.229329893694
26,2020-04-13,Buenos Aires,509.0,14.0,-36.6769415180527,-60.55883198157189
533,2020-04-13,Chaco,68.0,1.0,-26.3864309061226,-60.76583074386029
909,2020-04-13,Córdoba,150.0,2.0,-32.142932663607,-63.8017532741662
2175,2020-04-14,Salta,4.0,1.0,-24.2991344492002,-64.8144629600627
27,2020-04-14,Buenos Aires,494.0,11.0,-36.6769415180527,-60.55883198157189
1081,2020-04-14,Entre Ríos,10.0,2.0,-32.0588735436448,-59.2014475514635
286,2020-04-14,CABA,351.0,9.0,-34.6144934119689,-58.4458563545429
1600,2020-04-14,Mendoza,16.0,2.0,-34.6298873058957,-68.58312281837979
534,2020-04-14,Chaco,41.0,2.0,-26.3864309061226,-60.76583074386029
1601,2020-04-15,Mendoza,21.0,1.0,-34.6298873058957,-68.58312281837979
753,2020-04-15,Chubut,1.0,1.0,-43.7886233529878,-68.52675939433449
2573,2020-04-15,Santa Fe,69.0,1.0,-30.7069271588117,-60.9498369430241
910,2020-04-15,Córdoba,157.0,2.0,-32.142932663607,-63.8017532741662
1082,2020-04-15,Entre Ríos,12.0,1.0,-32.0588735436448,-59.2014475514635
1407,2020-04-15,La Pampa,3.0,1.0,-37.1315537735949,-65.4466546606951
287,2020-04-15,CABA,397.0,16.0,-34.6144934119689,-58.4458563545429
535,2020-04-15,Chaco,49.0,4.0,-26.3864309061226,-60.76583074386029
28,2020-04-15,Buenos Aires,570.0,13.0,-36.6769415180527,-60.55883198157189
1602,2020-04-16,Mendoza,18.0,2.0,-34.6298873058957,-68.58312281837979
288,2020-04-16,CABA,381.0,12.0,-34.6144934119689,-58.4458563545429
2574,2020-04-16,Santa Fe,85.0,1.0,-30.7069271588117,-60.9498369430241
1408,2020-04-16,La Pampa,3.0,1.0,-37.1315537735949,-65.4466546606951
1083,2020-04-16,Entre Ríos,12.0,1.0,-32.0588735436448,-59.2014475514635
536,2020-04-16,Chaco,44.0,1.0,-26.3864309061226,-60.76583074386029
29,2020-04-16,Buenos Aires,588.0,14.0,-36.6769415180527,-60.55883198157189
1777,2020-04-16,Misiones,4.0,1.0,-26.8753965086829,-54.6516966230371
911,2020-04-16,Córdoba,127.0,3.0,-32.142932663607,-63.8017532741662
2931,2020-04-17,Tucumán,34.0,1.0,-26.947800183078602,-65.3647579441481
1472,2020-04-17,La Rioja,17.0,1.0,-29.685776298315,-67.18173596944321
30,2020-04-17,Buenos Aires,616.0,13.0,-36.6769415180527,-60.55883198157189
289,2020-04-17,CABA,392.0,14.0,-34.6144934119689,-58.4458563545429
1084,2020-04-18,Entre Ríos,22.0,3.0,-32.0588735436448,-59.2014475514635
31,2020-04-18,Buenos Aires,605.0,19.0,-36.6769415180527,-60.55883198157189
1603,2020-04-18,Mendoza,10.0,1.0,-34.6298873058957,-68.58312281837979
