,date,prov_x,deaths,cases,lats,lons,mes
530,2020-04-01,Chaco,34.0,2.0,-26.3864309061226,-60.76583074386029,04
2571,2020-04-02,Santa Fe,74.0,1.0,-30.7069271588117,-60.9498369430241,04
15,2020-04-02,Buenos Aires,316.0,11.0,-36.6769415180527,-60.55883198157189,04
1597,2020-04-02,Mendoza,14.0,2.0,-34.6298873058957,-68.58312281837979,04
531,2020-04-02,Chaco,32.0,1.0,-26.3864309061226,-60.76583074386029,04
2732,2020-04-02,Santiago del Estero,2.0,1.0,-27.7824116550944,-63.252386656858796,04
276,2020-04-03,CABA,326.0,5.0,-34.6144934119689,-58.4458563545429,04
2572,2020-04-03,Santa Fe,100.0,1.0,-30.7069271588117,-60.9498369430241,04
16,2020-04-03,Buenos Aires,320.0,10.0,-36.6769415180527,-60.55883198157189,04
1598,2020-04-04,Mendoza,21.0,2.0,-34.6298873058957,-68.58312281837979,04
277,2020-04-04,CABA,311.0,14.0,-34.6144934119689,-58.4458563545429,04
17,2020-04-04,Buenos Aires,310.0,4.0,-36.6769415180527,-60.55883198157189,04
2573,2020-04-04,Santa Fe,75.0,1.0,-30.7069271588117,-60.9498369430241,04
1599,2020-04-05,Mendoza,14.0,1.0,-34.6298873058957,-68.58312281837979,04
18,2020-04-05,Buenos Aires,296.0,17.0,-36.6769415180527,-60.55883198157189,04
278,2020-04-05,CABA,257.0,8.0,-34.6144934119689,-58.4458563545429,04
909,2020-04-05,Córdoba,111.0,1.0,-32.142932663607,-63.8017532741662,04
910,2020-04-06,Córdoba,129.0,2.0,-32.142932663607,-63.8017532741662,04
532,2020-04-06,Chaco,33.0,2.0,-26.3864309061226,-60.76583074386029,04
1863,2020-04-06,Neuquén,18.0,1.0,-38.641757582459896,-70.1185705180601,04
19,2020-04-06,Buenos Aires,332.0,13.0,-36.6769415180527,-60.55883198157189,04
279,2020-04-06,CABA,313.0,11.0,-34.6144934119689,-58.4458563545429,04
1078,2020-04-06,Entre Ríos,17.0,1.0,-32.0588735436448,-59.2014475514635,04
1600,2020-04-07,Mendoza,22.0,2.0,-34.6298873058957,-68.58312281837979,04
2574,2020-04-07,Santa Fe,61.0,1.0,-30.7069271588117,-60.9498369430241,04
20,2020-04-07,Buenos Aires,338.0,10.0,-36.6769415180527,-60.55883198157189,04
1998,2020-04-07,Río Negro,20.0,1.0,-40.4057957178801,-67.229329893694,04
1079,2020-04-07,Entre Ríos,10.0,1.0,-32.0588735436448,-59.2014475514635,04
280,2020-04-07,CABA,301.0,5.0,-34.6144934119689,-58.4458563545429,04
21,2020-04-08,Buenos Aires,355.0,13.0,-36.6769415180527,-60.55883198157189,04
2933,2020-04-08,Tucumán,18.0,1.0,-26.947800183078602,-65.3647579441481,04
533,2020-04-08,Chaco,52.0,1.0,-26.3864309061226,-60.76583074386029,04
1864,2020-04-08,Neuquén,13.0,1.0,-38.641757582459896,-70.1185705180601,04
1080,2020-04-08,Entre Ríos,10.0,2.0,-32.0588735436448,-59.2014475514635,04
2822,2020-04-08,Tierra del Fuego,16.0,1.0,-82.52151781220999,-50.7427486049785,04
281,2020-04-08,CABA,306.0,9.0,-34.6144934119689,-58.4458563545429,04
2575,2020-04-08,Santa Fe,73.0,1.0,-30.7069271588117,-60.9498369430241,04
22,2020-04-09,Buenos Aires,330.0,13.0,-36.6769415180527,-60.55883198157189,04
1778,2020-04-09,Misiones,6.0,1.0,-26.8753965086829,-54.6516966230371,04
282,2020-04-09,CABA,269.0,18.0,-34.6144934119689,-58.4458563545429,04
2576,2020-04-09,Santa Fe,72.0,3.0,-30.7069271588117,-60.9498369430241,04
1999,2020-04-09,Río Negro,27.0,2.0,-40.4057957178801,-67.229329893694,04
2733,2020-04-09,Santiago del Estero,4.0,1.0,-27.7824116550944,-63.252386656858796,04
856,2020-04-09,Corrientes,1.0,1.0,-28.7743047046407,-57.8012191977913,04
1081,2020-04-09,Entre Ríos,20.0,1.0,-32.0588735436448,-59.2014475514635,04
283,2020-04-10,CABA,356.0,5.0,-34.6144934119689,-58.4458563545429,04
1779,2020-04-10,Misiones,3.0,3.0,-26.8753965086829,-54.6516966230371,04
1082,2020-04-10,Entre Ríos,16.0,5.0,-32.0588735436448,-59.2014475514635,04
23,2020-04-10,Buenos Aires,469.0,10.0,-36.6769415180527,-60.55883198157189,04
534,2020-04-11,Chaco,60.0,1.0,-26.3864309061226,-60.76583074386029,04
1083,2020-04-11,Entre Ríos,12.0,1.0,-32.0588735436448,-59.2014475514635,04
1473,2020-04-11,La Rioja,10.0,1.0,-29.685776298315,-67.18173596944321,04
24,2020-04-11,Buenos Aires,364.0,8.0,-36.6769415180527,-60.55883198157189,04
284,2020-04-11,CABA,297.0,9.0,-34.6144934119689,-58.4458563545429,04
911,2020-04-11,Córdoba,129.0,1.0,-32.142932663607,-63.8017532741662,04
2934,2020-04-11,Tucumán,23.0,2.0,-26.947800183078602,-65.3647579441481,04
2177,2020-04-11,Salta,6.0,2.0,-24.2991344492002,-64.8144629600627,04
285,2020-04-12,CABA,336.0,6.0,-34.6144934119689,-58.4458563545429,04
25,2020-04-12,Buenos Aires,420.0,14.0,-36.6769415180527,-60.55883198157189,04
1601,2020-04-12,Mendoza,20.0,1.0,-34.6298873058957,-68.58312281837979,04
286,2020-04-13,CABA,326.0,7.0,-34.6144934119689,-58.4458563545429,04
26,2020-04-13,Buenos Aires,509.0,14.0,-36.6769415180527,-60.55883198157189,04
2000,2020-04-13,Río Negro,28.0,1.0,-40.4057957178801,-67.229329893694,04
912,2020-04-13,Córdoba,150.0,2.0,-32.142932663607,-63.8017532741662,04
1474,2020-04-13,La Rioja,10.0,2.0,-29.685776298315,-67.18173596944321,04
1602,2020-04-13,Mendoza,23.0,2.0,-34.6298873058957,-68.58312281837979,04
535,2020-04-13,Chaco,68.0,1.0,-26.3864309061226,-60.76583074386029,04
1603,2020-04-14,Mendoza,16.0,2.0,-34.6298873058957,-68.58312281837979,04
2178,2020-04-14,Salta,4.0,1.0,-24.2991344492002,-64.8144629600627,04
287,2020-04-14,CABA,351.0,9.0,-34.6144934119689,-58.4458563545429,04
1084,2020-04-14,Entre Ríos,10.0,2.0,-32.0588735436448,-59.2014475514635,04
27,2020-04-14,Buenos Aires,494.0,11.0,-36.6769415180527,-60.55883198157189,04
536,2020-04-14,Chaco,41.0,2.0,-26.3864309061226,-60.76583074386029,04
1410,2020-04-15,La Pampa,3.0,1.0,-37.1315537735949,-65.4466546606951,04
913,2020-04-15,Córdoba,157.0,2.0,-32.142932663607,-63.8017532741662,04
755,2020-04-15,Chubut,1.0,1.0,-43.7886233529878,-68.52675939433449,04
537,2020-04-15,Chaco,49.0,4.0,-26.3864309061226,-60.76583074386029,04
28,2020-04-15,Buenos Aires,570.0,13.0,-36.6769415180527,-60.55883198157189,04
1085,2020-04-15,Entre Ríos,12.0,1.0,-32.0588735436448,-59.2014475514635,04
288,2020-04-15,CABA,397.0,16.0,-34.6144934119689,-58.4458563545429,04
1604,2020-04-15,Mendoza,21.0,1.0,-34.6298873058957,-68.58312281837979,04
2577,2020-04-15,Santa Fe,69.0,1.0,-30.7069271588117,-60.9498369430241,04
538,2020-04-16,Chaco,44.0,1.0,-26.3864309061226,-60.76583074386029,04
289,2020-04-16,CABA,381.0,12.0,-34.6144934119689,-58.4458563545429,04
2578,2020-04-16,Santa Fe,85.0,1.0,-30.7069271588117,-60.9498369430241,04
1605,2020-04-16,Mendoza,18.0,2.0,-34.6298873058957,-68.58312281837979,04
29,2020-04-16,Buenos Aires,588.0,14.0,-36.6769415180527,-60.55883198157189,04
1780,2020-04-16,Misiones,4.0,1.0,-26.8753965086829,-54.6516966230371,04
914,2020-04-16,Córdoba,127.0,3.0,-32.142932663607,-63.8017532741662,04
1086,2020-04-16,Entre Ríos,12.0,1.0,-32.0588735436448,-59.2014475514635,04
1411,2020-04-16,La Pampa,3.0,1.0,-37.1315537735949,-65.4466546606951,04
2935,2020-04-17,Tucumán,34.0,1.0,-26.947800183078602,-65.3647579441481,04
290,2020-04-17,CABA,392.0,14.0,-34.6144934119689,-58.4458563545429,04
30,2020-04-17,Buenos Aires,616.0,13.0,-36.6769415180527,-60.55883198157189,04
1475,2020-04-17,La Rioja,17.0,1.0,-29.685776298315,-67.18173596944321,04
31,2020-04-18,Buenos Aires,605.0,19.0,-36.6769415180527,-60.55883198157189,04
1087,2020-04-18,Entre Ríos,22.0,3.0,-32.0588735436448,-59.2014475514635,04
291,2020-04-18,CABA,370.0,4.0,-34.6144934119689,-58.4458563545429,04
1781,2020-04-18,Misiones,1.0,1.0,-26.8753965086829,-54.6516966230371,04
1606,2020-04-18,Mendoza,10.0,1.0,-34.6298873058957,-68.58312281837979,04
1088,2020-04-19,Entre Ríos,12.0,1.0,-32.0588735436448,-59.2014475514635,04
756,2020-04-19,Chubut,1.0,1.0,-43.7886233529878,-68.52675939433449,04
2579,2020-04-19,Santa Fe,90.0,3.0,-30.7069271588117,-60.9498369430241,04
2001,2020-04-19,Río Negro,33.0,1.0,-40.4057957178801,-67.229329893694,04
32,2020-04-19,Buenos Aires,560.0,14.0,-36.6769415180527,-60.55883198157189,04
539,2020-04-19,Chaco,43.0,3.0,-26.3864309061226,-60.76583074386029,04
1607,2020-04-19,Mendoza,16.0,3.0,-34.6298873058957,-68.58312281837979,04
292,2020-04-19,CABA,353.0,10.0,-34.6144934119689,-58.4458563545429,04
915,2020-04-19,Córdoba,103.0,1.0,-32.142932663607,-63.8017532741662,04
293,2020-04-20,CABA,465.0,10.0,-34.6144934119689,-58.4458563545429,04
2002,2020-04-20,Río Negro,43.0,2.0,-40.4057957178801,-67.229329893694,04
540,2020-04-20,Chaco,83.0,1.0,-26.3864309061226,-60.76583074386029,04
33,2020-04-20,Buenos Aires,832.0,11.0,-36.6769415180527,-60.55883198157189,04
1865,2020-04-20,Neuquén,18.0,1.0,-38.641757582459896,-70.1185705180601,04
1412,2020-04-20,La Pampa,3.0,1.0,-37.1315537735949,-65.4466546606951,04
916,2020-04-20,Córdoba,190.0,2.0,-32.142932663607,-63.8017532741662,04
