,date,prov_x,deaths,cases,lats,lons,mes
946,2020-07-02,Córdoba,206.0,1.0,-32.142932663607,-63.8017532741662,07
106,2020-07-02,Buenos Aires,2810.0,71.0,-36.6769415180527,-60.55883198157189,07
366,2020-07-02,CABA,1587.0,38.0,-34.6144934119689,-58.4458563545429,07
606,2020-07-02,Chaco,65.0,2.0,-26.3864309061226,-60.76583074386029,07
1883,2020-07-02,Neuquén,26.0,1.0,-38.641757582459896,-70.1185705180601,07
2187,2020-07-02,Salta,5.0,1.0,-24.2991344492002,-64.8144629600627,07
1637,2020-07-02,Mendoza,35.0,1.0,-34.6298873058957,-68.58312281837979,07
947,2020-07-03,Córdoba,195.0,1.0,-32.142932663607,-63.8017532741662,07
1884,2020-07-03,Neuquén,29.0,2.0,-38.641757582459896,-70.1185705180601,07
1137,2020-07-03,Entre Ríos,39.0,1.0,-32.0588735436448,-59.2014475514635,07
107,2020-07-03,Buenos Aires,3217.0,58.0,-36.6769415180527,-60.55883198157189,07
2188,2020-07-03,Salta,11.0,1.0,-24.2991344492002,-64.8144629600627,07
2604,2020-07-03,Santa Fe,60.0,2.0,-30.7069271588117,-60.9498369430241,07
607,2020-07-03,Chaco,71.0,7.0,-26.3864309061226,-60.76583074386029,07
367,2020-07-03,CABA,1720.0,37.0,-34.6144934119689,-58.4458563545429,07
1885,2020-07-04,Neuquén,33.0,2.0,-38.641757582459896,-70.1185705180601,07
608,2020-07-04,Chaco,56.0,3.0,-26.3864309061226,-60.76583074386029,07
368,2020-07-04,CABA,1577.0,32.0,-34.6144934119689,-58.4458563545429,07
1273,2020-07-04,Jujuy,5.0,1.0,-23.3200784211351,-65.7642522180337,07
2605,2020-07-04,Santa Fe,28.0,1.0,-30.7069271588117,-60.9498369430241,07
108,2020-07-04,Buenos Aires,2867.0,91.0,-36.6769415180527,-60.55883198157189,07
1138,2020-07-04,Entre Ríos,39.0,1.0,-32.0588735436448,-59.2014475514635,07
609,2020-07-05,Chaco,54.0,1.0,-26.3864309061226,-60.76583074386029,07
1638,2020-07-05,Mendoza,27.0,1.0,-34.6298873058957,-68.58312281837979,07
2189,2020-07-05,Salta,10.0,1.0,-24.2991344492002,-64.8144629600627,07
1139,2020-07-05,Entre Ríos,40.0,5.0,-32.0588735436448,-59.2014475514635,07
1274,2020-07-05,Jujuy,9.0,2.0,-23.3200784211351,-65.7642522180337,07
369,2020-07-05,CABA,1566.0,52.0,-34.6144934119689,-58.4458563545429,07
2039,2020-07-05,Río Negro,49.0,3.0,-40.4057957178801,-67.229329893694,07
1886,2020-07-05,Neuquén,30.0,1.0,-38.641757582459896,-70.1185705180601,07
109,2020-07-05,Buenos Aires,3020.0,93.0,-36.6769415180527,-60.55883198157189,07
110,2020-07-06,Buenos Aires,3513.0,79.0,-36.6769415180527,-60.55883198157189,07
370,2020-07-06,CABA,1757.0,30.0,-34.6144934119689,-58.4458563545429,07
1275,2020-07-06,Jujuy,12.0,1.0,-23.3200784211351,-65.7642522180337,07
1639,2020-07-06,Mendoza,42.0,1.0,-34.6298873058957,-68.58312281837979,07
1140,2020-07-06,Entre Ríos,65.0,1.0,-32.0588735436448,-59.2014475514635,07
1488,2020-07-06,La Rioja,6.0,1.0,-29.685776298315,-67.18173596944321,07
610,2020-07-06,Chaco,82.0,1.0,-26.3864309061226,-60.76583074386029,07
2040,2020-07-06,Río Negro,50.0,2.0,-40.4057957178801,-67.229329893694,07
1276,2020-07-07,Jujuy,14.0,1.0,-23.3200784211351,-65.7642522180337,07
371,2020-07-07,CABA,1810.0,44.0,-34.6144934119689,-58.4458563545429,07
111,2020-07-07,Buenos Aires,3443.0,81.0,-36.6769415180527,-60.55883198157189,07
1141,2020-07-07,Entre Ríos,73.0,3.0,-32.0588735436448,-59.2014475514635,07
372,2020-07-08,CABA,1702.0,54.0,-34.6144934119689,-58.4458563545429,07
2606,2020-07-08,Santa Fe,54.0,1.0,-30.7069271588117,-60.9498369430241,07
611,2020-07-08,Chaco,78.0,5.0,-26.3864309061226,-60.76583074386029,07
2041,2020-07-08,Río Negro,54.0,2.0,-40.4057957178801,-67.229329893694,07
112,2020-07-08,Buenos Aires,3233.0,103.0,-36.6769415180527,-60.55883198157189,07
1142,2020-07-08,Entre Ríos,78.0,2.0,-32.0588735436448,-59.2014475514635,07
1640,2020-07-08,Mendoza,57.0,2.0,-34.6298873058957,-68.58312281837979,07
1277,2020-07-08,Jujuy,6.0,2.0,-23.3200784211351,-65.7642522180337,07
1278,2020-07-09,Jujuy,4.0,1.0,-23.3200784211351,-65.7642522180337,07
2607,2020-07-09,Santa Fe,60.0,1.0,-30.7069271588117,-60.9498369430241,07
612,2020-07-09,Chaco,85.0,2.0,-26.3864309061226,-60.76583074386029,07
2042,2020-07-09,Río Negro,56.0,1.0,-40.4057957178801,-67.229329893694,07
1807,2020-07-09,Misiones,2.0,1.0,-26.8753965086829,-54.6516966230371,07
1489,2020-07-09,La Rioja,7.0,1.0,-29.685776298315,-67.18173596944321,07
2190,2020-07-09,Salta,6.0,3.0,-24.2991344492002,-64.8144629600627,07
373,2020-07-09,CABA,1694.0,43.0,-34.6144934119689,-58.4458563545429,07
1143,2020-07-09,Entre Ríos,78.0,4.0,-32.0588735436448,-59.2014475514635,07
766,2020-07-09,Chubut,59.0,1.0,-43.7886233529878,-68.52675939433449,07
113,2020-07-09,Buenos Aires,3100.0,86.0,-36.6769415180527,-60.55883198157189,07
374,2020-07-10,CABA,1797.0,51.0,-34.6144934119689,-58.4458563545429,07
1490,2020-07-10,La Rioja,5.0,1.0,-29.685776298315,-67.18173596944321,07
613,2020-07-10,Chaco,77.0,4.0,-26.3864309061226,-60.76583074386029,07
2043,2020-07-10,Río Negro,66.0,3.0,-40.4057957178801,-67.229329893694,07
1887,2020-07-10,Neuquén,32.0,1.0,-38.641757582459896,-70.1185705180601,07
114,2020-07-10,Buenos Aires,4429.0,112.0,-36.6769415180527,-60.55883198157189,07
1808,2020-07-10,Misiones,4.0,2.0,-26.8753965086829,-54.6516966230371,07
1279,2020-07-11,Jujuy,5.0,2.0,-23.3200784211351,-65.7642522180337,07
614,2020-07-11,Chaco,81.0,5.0,-26.3864309061226,-60.76583074386029,07
115,2020-07-11,Buenos Aires,3259.0,109.0,-36.6769415180527,-60.55883198157189,07
948,2020-07-11,Córdoba,247.0,1.0,-32.142932663607,-63.8017532741662,07
375,2020-07-11,CABA,1686.0,49.0,-34.6144934119689,-58.4458563545429,07
1809,2020-07-11,Misiones,2.0,1.0,-26.8753965086829,-54.6516966230371,07
1280,2020-07-12,Jujuy,11.0,4.0,-23.3200784211351,-65.7642522180337,07
615,2020-07-12,Chaco,67.0,3.0,-26.3864309061226,-60.76583074386029,07
116,2020-07-12,Buenos Aires,3781.0,88.0,-36.6769415180527,-60.55883198157189,07
1144,2020-07-12,Entre Ríos,127.0,3.0,-32.0588735436448,-59.2014475514635,07
376,2020-07-12,CABA,1693.0,49.0,-34.6144934119689,-58.4458563545429,07
1810,2020-07-12,Misiones,3.0,2.0,-26.8753965086829,-54.6516966230371,07
2044,2020-07-13,Río Negro,75.0,1.0,-40.4057957178801,-67.229329893694,07
949,2020-07-13,Córdoba,424.0,1.0,-32.142932663607,-63.8017532741662,07
1811,2020-07-13,Misiones,4.0,1.0,-26.8753965086829,-54.6516966230371,07
616,2020-07-13,Chaco,116.0,6.0,-26.3864309061226,-60.76583074386029,07
1281,2020-07-13,Jujuy,20.0,2.0,-23.3200784211351,-65.7642522180337,07
377,2020-07-13,CABA,2039.0,58.0,-34.6144934119689,-58.4458563545429,07
117,2020-07-13,Buenos Aires,4422.0,95.0,-36.6769415180527,-60.55883198157189,07
1145,2020-07-13,Entre Ríos,128.0,4.0,-32.0588735436448,-59.2014475514635,07
1641,2020-07-13,Mendoza,65.0,1.0,-34.6298873058957,-68.58312281837979,07
1491,2020-07-14,La Rioja,6.0,2.0,-29.685776298315,-67.18173596944321,07
1282,2020-07-14,Jujuy,36.0,2.0,-23.3200784211351,-65.7642522180337,07
617,2020-07-14,Chaco,116.0,3.0,-26.3864309061226,-60.76583074386029,07
2045,2020-07-14,Río Negro,72.0,2.0,-40.4057957178801,-67.229329893694,07
118,2020-07-14,Buenos Aires,4158.0,101.0,-36.6769415180527,-60.55883198157189,07
1146,2020-07-14,Entre Ríos,88.0,2.0,-32.0588735436448,-59.2014475514635,07
1888,2020-07-14,Neuquén,41.0,1.0,-38.641757582459896,-70.1185705180601,07
378,2020-07-14,CABA,1900.0,70.0,-34.6144934119689,-58.4458563545429,07
2191,2020-07-15,Salta,11.0,1.0,-24.2991344492002,-64.8144629600627,07
618,2020-07-15,Chaco,122.0,2.0,-26.3864309061226,-60.76583074386029,07
379,2020-07-15,CABA,2046.0,57.0,-34.6144934119689,-58.4458563545429,07
2608,2020-07-15,Santa Fe,70.0,2.0,-30.7069271588117,-60.9498369430241,07
1147,2020-07-15,Entre Ríos,80.0,3.0,-32.0588735436448,-59.2014475514635,07
1642,2020-07-15,Mendoza,64.0,2.0,-34.6298873058957,-68.58312281837979,07
1283,2020-07-15,Jujuy,19.0,4.0,-23.3200784211351,-65.7642522180337,07
1812,2020-07-15,Misiones,1.0,3.0,-26.8753965086829,-54.6516966230371,07
119,2020-07-15,Buenos Aires,4701.0,119.0,-36.6769415180527,-60.55883198157189,07
1643,2020-07-16,Mendoza,54.0,3.0,-34.6298873058957,-68.58312281837979,07
380,2020-07-16,CABA,1898.0,61.0,-34.6144934119689,-58.4458563545429,07
2738,2020-07-16,Santiago del Estero,4.0,1.0,-27.7824116550944,-63.252386656858796,07
120,2020-07-16,Buenos Aires,4047.0,90.0,-36.6769415180527,-60.55883198157189,07
1284,2020-07-16,Jujuy,12.0,5.0,-23.3200784211351,-65.7642522180337,07
619,2020-07-16,Chaco,76.0,2.0,-26.3864309061226,-60.76583074386029,07
2046,2020-07-16,Río Negro,62.0,1.0,-40.4057957178801,-67.229329893694,07
950,2020-07-16,Córdoba,314.0,1.0,-32.142932663607,-63.8017532741662,07
2192,2020-07-16,Salta,14.0,1.0,-24.2991344492002,-64.8144629600627,07
1148,2020-07-17,Entre Ríos,69.0,1.0,-32.0588735436448,-59.2014475514635,07
1644,2020-07-17,Mendoza,74.0,2.0,-34.6298873058957,-68.58312281837979,07
1492,2020-07-17,La Rioja,8.0,2.0,-29.685776298315,-67.18173596944321,07
2047,2020-07-17,Río Negro,62.0,3.0,-40.4057957178801,-67.229329893694,07
381,2020-07-17,CABA,2125.0,60.0,-34.6144934119689,-58.4458563545429,07
121,2020-07-17,Buenos Aires,4415.0,106.0,-36.6769415180527,-60.55883198157189,07
620,2020-07-17,Chaco,104.0,2.0,-26.3864309061226,-60.76583074386029,07
767,2020-07-17,Chubut,19.0,1.0,-43.7886233529878,-68.52675939433449,07
1813,2020-07-17,Misiones,4.0,1.0,-26.8753965086829,-54.6516966230371,07
1285,2020-07-17,Jujuy,61.0,3.0,-23.3200784211351,-65.7642522180337,07
2609,2020-07-17,Santa Fe,86.0,1.0,-30.7069271588117,-60.9498369430241,07
122,2020-07-18,Buenos Aires,4592.0,126.0,-36.6769415180527,-60.55883198157189,07
2610,2020-07-18,Santa Fe,66.0,1.0,-30.7069271588117,-60.9498369430241,07
382,2020-07-18,CABA,1903.0,68.0,-34.6144934119689,-58.4458563545429,07
1493,2020-07-18,La Rioja,7.0,1.0,-29.685776298315,-67.18173596944321,07
1286,2020-07-18,Jujuy,19.0,1.0,-23.3200784211351,-65.7642522180337,07
861,2020-07-18,Corrientes,2.0,1.0,-28.7743047046407,-57.8012191977913,07
951,2020-07-18,Córdoba,292.0,1.0,-32.142932663607,-63.8017532741662,07
621,2020-07-18,Chaco,102.0,3.0,-26.3864309061226,-60.76583074386029,07
1645,2020-07-18,Mendoza,52.0,2.0,-34.6298873058957,-68.58312281837979,07
622,2020-07-19,Chaco,101.0,2.0,-26.3864309061226,-60.76583074386029,07
2193,2020-07-19,Salta,16.0,1.0,-24.2991344492002,-64.8144629600627,07
1646,2020-07-19,Mendoza,56.0,1.0,-34.6298873058957,-68.58312281837979,07
1287,2020-07-19,Jujuy,31.0,1.0,-23.3200784211351,-65.7642522180337,07
2048,2020-07-19,Río Negro,72.0,4.0,-40.4057957178801,-67.229329893694,07
383,2020-07-19,CABA,1968.0,67.0,-34.6144934119689,-58.4458563545429,07
1814,2020-07-19,Misiones,4.0,1.0,-26.8753965086829,-54.6516966230371,07
123,2020-07-19,Buenos Aires,4243.0,116.0,-36.6769415180527,-60.55883198157189,07
1815,2020-07-20,Misiones,9.0,1.0,-26.8753965086829,-54.6516966230371,07
384,2020-07-20,CABA,2581.0,68.0,-34.6144934119689,-58.4458563545429,07
1647,2020-07-20,Mendoza,83.0,1.0,-34.6298873058957,-68.58312281837979,07
1288,2020-07-20,Jujuy,61.0,2.0,-23.3200784211351,-65.7642522180337,07
2049,2020-07-20,Río Negro,106.0,3.0,-40.4057957178801,-67.229329893694,07
952,2020-07-20,Córdoba,381.0,3.0,-32.142932663607,-63.8017532741662,07
623,2020-07-20,Chaco,159.0,2.0,-26.3864309061226,-60.76583074386029,07
1149,2020-07-20,Entre Ríos,92.0,2.0,-32.0588735436448,-59.2014475514635,07
124,2020-07-20,Buenos Aires,6858.0,115.0,-36.6769415180527,-60.55883198157189,07
1494,2020-07-21,La Rioja,5.0,1.0,-29.685776298315,-67.18173596944321,07
1289,2020-07-21,Jujuy,28.0,7.0,-23.3200784211351,-65.7642522180337,07
953,2020-07-21,Córdoba,295.0,1.0,-32.142932663607,-63.8017532741662,07
1648,2020-07-21,Mendoza,64.0,1.0,-34.6298873058957,-68.58312281837979,07
1150,2020-07-21,Entre Ríos,62.0,4.0,-32.0588735436448,-59.2014475514635,07
2194,2020-07-21,Salta,10.0,1.0,-24.2991344492002,-64.8144629600627,07
2611,2020-07-21,Santa Fe,90.0,2.0,-30.7069271588117,-60.9498369430241,07
125,2020-07-21,Buenos Aires,4497.0,128.0,-36.6769415180527,-60.55883198157189,07
2050,2020-07-21,Río Negro,68.0,1.0,-40.4057957178801,-67.229329893694,07
624,2020-07-21,Chaco,109.0,2.0,-26.3864309061226,-60.76583074386029,07
385,2020-07-21,CABA,2116.0,69.0,-34.6144934119689,-58.4458563545429,07
1649,2020-07-22,Mendoza,77.0,2.0,-34.6298873058957,-68.58312281837979,07
1151,2020-07-22,Entre Ríos,60.0,2.0,-32.0588735436448,-59.2014475514635,07
126,2020-07-22,Buenos Aires,4488.0,132.0,-36.6769415180527,-60.55883198157189,07
386,2020-07-22,CABA,2051.0,66.0,-34.6144934119689,-58.4458563545429,07
2051,2020-07-22,Río Negro,89.0,1.0,-40.4057957178801,-67.229329893694,07
2195,2020-07-22,Salta,14.0,1.0,-24.2991344492002,-64.8144629600627,07
1495,2020-07-22,La Rioja,4.0,1.0,-29.685776298315,-67.18173596944321,07
625,2020-07-22,Chaco,64.0,2.0,-26.3864309061226,-60.76583074386029,07
1290,2020-07-22,Jujuy,56.0,2.0,-23.3200784211351,-65.7642522180337,07
387,2020-07-23,CABA,1926.0,54.0,-34.6144934119689,-58.4458563545429,07
626,2020-07-23,Chaco,69.0,5.0,-26.3864309061226,-60.76583074386029,07
1889,2020-07-23,Neuquén,57.0,1.0,-38.641757582459896,-70.1185705180601,07
2196,2020-07-23,Salta,7.0,1.0,-24.2991344492002,-64.8144629600627,07
1650,2020-07-23,Mendoza,71.0,3.0,-34.6298873058957,-68.58312281837979,07
1291,2020-07-23,Jujuy,37.0,1.0,-23.3200784211351,-65.7642522180337,07
127,2020-07-23,Buenos Aires,4385.0,110.0,-36.6769415180527,-60.55883198157189,07
627,2020-07-24,Chaco,71.0,1.0,-26.3864309061226,-60.76583074386029,07
954,2020-07-24,Córdoba,210.0,1.0,-32.142932663607,-63.8017532741662,07
1152,2020-07-24,Entre Ríos,71.0,1.0,-32.0588735436448,-59.2014475514635,07
1292,2020-07-24,Jujuy,42.0,3.0,-23.3200784211351,-65.7642522180337,07
128,2020-07-24,Buenos Aires,4827.0,124.0,-36.6769415180527,-60.55883198157189,07
2466,2020-07-24,Santa Cruz,22.0,1.0,-48.8154851827063,-69.95576216719729,07
388,2020-07-24,CABA,1857.0,71.0,-34.6144934119689,-58.4458563545429,07
2052,2020-07-24,Río Negro,90.0,3.0,-40.4057957178801,-67.229329893694,07
1651,2020-07-24,Mendoza,46.0,1.0,-34.6298873058957,-68.58312281837979,07
1153,2020-07-25,Entre Ríos,72.0,2.0,-32.0588735436448,-59.2014475514635,07
628,2020-07-25,Chaco,86.0,2.0,-26.3864309061226,-60.76583074386029,07
129,2020-07-25,Buenos Aires,5240.0,118.0,-36.6769415180527,-60.55883198157189,07
1652,2020-07-25,Mendoza,75.0,4.0,-34.6298873058957,-68.58312281837979,07
389,2020-07-25,CABA,1739.0,45.0,-34.6144934119689,-58.4458563545429,07
2612,2020-07-25,Santa Fe,96.0,2.0,-30.7069271588117,-60.9498369430241,07
2053,2020-07-25,Río Negro,94.0,1.0,-40.4057957178801,-67.229329893694,07
1293,2020-07-25,Jujuy,30.0,3.0,-23.3200784211351,-65.7642522180337,07
629,2020-07-26,Chaco,80.0,3.0,-26.3864309061226,-60.76583074386029,07
2829,2020-07-26,Tierra del Fuego,78.0,1.0,-82.52151781220999,-50.7427486049785,07
390,2020-07-26,CABA,1760.0,59.0,-34.6144934119689,-58.4458563545429,07
955,2020-07-26,Córdoba,234.0,1.0,-32.142932663607,-63.8017532741662,07
1816,2020-07-26,Misiones,3.0,1.0,-26.8753965086829,-54.6516966230371,07
2054,2020-07-26,Río Negro,120.0,1.0,-40.4057957178801,-67.229329893694,07
2197,2020-07-26,Salta,17.0,2.0,-24.2991344492002,-64.8144629600627,07
2467,2020-07-26,Santa Cruz,31.0,1.0,-48.8154851827063,-69.95576216719729,07
1653,2020-07-26,Mendoza,70.0,2.0,-34.6298873058957,-68.58312281837979,07
1496,2020-07-26,La Rioja,6.0,1.0,-29.685776298315,-67.18173596944321,07
1294,2020-07-26,Jujuy,34.0,2.0,-23.3200784211351,-65.7642522180337,07
130,2020-07-26,Buenos Aires,5057.0,132.0,-36.6769415180527,-60.55883198157189,07
1295,2020-07-27,Jujuy,73.0,3.0,-23.3200784211351,-65.7642522180337,07
630,2020-07-27,Chaco,101.0,2.0,-26.3864309061226,-60.76583074386029,07
1654,2020-07-27,Mendoza,91.0,4.0,-34.6298873058957,-68.58312281837979,07
1497,2020-07-27,La Rioja,9.0,1.0,-29.685776298315,-67.18173596944321,07
2830,2020-07-27,Tierra del Fuego,115.0,1.0,-82.52151781220999,-50.7427486049785,07
1817,2020-07-27,Misiones,6.0,1.0,-26.8753965086829,-54.6516966230371,07
2198,2020-07-27,Salta,28.0,2.0,-24.2991344492002,-64.8144629600627,07
1154,2020-07-27,Entre Ríos,78.0,3.0,-32.0588735436448,-59.2014475514635,07
2613,2020-07-27,Santa Fe,117.0,2.0,-30.7069271588117,-60.9498369430241,07
391,2020-07-27,CABA,2291.0,74.0,-34.6144934119689,-58.4458563545429,07
2055,2020-07-27,Río Negro,141.0,1.0,-40.4057957178801,-67.229329893694,07
131,2020-07-27,Buenos Aires,6319.0,141.0,-36.6769415180527,-60.55883198157189,07
1498,2020-07-28,La Rioja,9.0,1.0,-29.685776298315,-67.18173596944321,07
956,2020-07-28,Córdoba,181.0,3.0,-32.142932663607,-63.8017532741662,07
1655,2020-07-28,Mendoza,79.0,4.0,-34.6298873058957,-68.58312281837979,07
631,2020-07-28,Chaco,96.0,4.0,-26.3864309061226,-60.76583074386029,07
2056,2020-07-28,Río Negro,142.0,3.0,-40.4057957178801,-67.229329893694,07
1296,2020-07-28,Jujuy,43.0,3.0,-23.3200784211351,-65.7642522180337,07
392,2020-07-28,CABA,2008.0,60.0,-34.6144934119689,-58.4458563545429,07
1155,2020-07-28,Entre Ríos,75.0,3.0,-32.0588735436448,-59.2014475514635,07
1419,2020-07-28,La Pampa,79.0,1.0,-37.1315537735949,-65.4466546606951,07
132,2020-07-28,Buenos Aires,5272.0,138.0,-36.6769415180527,-60.55883198157189,07
1818,2020-07-28,Misiones,4.0,1.0,-26.8753965086829,-54.6516966230371,07
2468,2020-07-28,Santa Cruz,30.0,1.0,-48.8154851827063,-69.95576216719729,07
1819,2020-07-29,Misiones,1.0,1.0,-26.8753965086829,-54.6516966230371,07
957,2020-07-29,Córdoba,198.0,2.0,-32.142932663607,-63.8017532741662,07
1656,2020-07-29,Mendoza,81.0,6.0,-34.6298873058957,-68.58312281837979,07
2614,2020-07-29,Santa Fe,102.0,1.0,-30.7069271588117,-60.9498369430241,07
1297,2020-07-29,Jujuy,66.0,8.0,-23.3200784211351,-65.7642522180337,07
393,2020-07-29,CABA,2040.0,67.0,-34.6144934119689,-58.4458563545429,07
632,2020-07-29,Chaco,76.0,2.0,-26.3864309061226,-60.76583074386029,07
768,2020-07-29,Chubut,28.0,1.0,-43.7886233529878,-68.52675939433449,07
1890,2020-07-29,Neuquén,51.0,1.0,-38.641757582459896,-70.1185705180601,07
133,2020-07-29,Buenos Aires,4793.0,147.0,-36.6769415180527,-60.55883198157189,07
2057,2020-07-29,Río Negro,136.0,2.0,-40.4057957178801,-67.229329893694,07
2615,2020-07-30,Santa Fe,85.0,1.0,-30.7069271588117,-60.9498369430241,07
1298,2020-07-30,Jujuy,65.0,7.0,-23.3200784211351,-65.7642522180337,07
633,2020-07-30,Chaco,77.0,3.0,-26.3864309061226,-60.76583074386029,07
2058,2020-07-30,Río Negro,169.0,3.0,-40.4057957178801,-67.229329893694,07
2469,2020-07-30,Santa Cruz,37.0,1.0,-48.8154851827063,-69.95576216719729,07
394,2020-07-30,CABA,2110.0,66.0,-34.6144934119689,-58.4458563545429,07
1657,2020-07-30,Mendoza,63.0,3.0,-34.6298873058957,-68.58312281837979,07
958,2020-07-30,Córdoba,203.0,1.0,-32.142932663607,-63.8017532741662,07
134,2020-07-30,Buenos Aires,4831.0,146.0,-36.6769415180527,-60.55883198157189,07
2199,2020-07-31,Salta,27.0,1.0,-24.2991344492002,-64.8144629600627,07
2616,2020-07-31,Santa Fe,102.0,4.0,-30.7069271588117,-60.9498369430241,07
1299,2020-07-31,Jujuy,102.0,5.0,-23.3200784211351,-65.7642522180337,07
862,2020-07-31,Corrientes,1.0,1.0,-28.7743047046407,-57.8012191977913,07
634,2020-07-31,Chaco,69.0,2.0,-26.3864309061226,-60.76583074386029,07
135,2020-07-31,Buenos Aires,5177.0,144.0,-36.6769415180527,-60.55883198157189,07
2831,2020-07-31,Tierra del Fuego,98.0,1.0,-82.52151781220999,-50.7427486049785,07
1658,2020-07-31,Mendoza,111.0,1.0,-34.6298873058957,-68.58312281837979,07
2059,2020-07-31,Río Negro,155.0,2.0,-40.4057957178801,-67.229329893694,07
2944,2020-07-31,Tucumán,60.0,1.0,-26.947800183078602,-65.3647579441481,07
1499,2020-07-31,La Rioja,2.0,2.0,-29.685776298315,-67.18173596944321,07
395,2020-07-31,CABA,2213.0,53.0,-34.6144934119689,-58.4458563545429,07
2470,2020-07-31,Santa Cruz,50.0,1.0,-48.8154851827063,-69.95576216719729,07
1659,2020-08-01,Mendoza,91.0,6.0,-34.6298873058957,-68.58312281837979,08
136,2020-08-01,Buenos Aires,7763.0,136.0,-36.6769415180527,-60.55883198157189,08
2060,2020-08-01,Río Negro,207.0,1.0,-40.4057957178801,-67.229329893694,08
959,2020-08-01,Córdoba,201.0,1.0,-32.142932663607,-63.8017532741662,08
1156,2020-08-01,Entre Ríos,168.0,1.0,-32.0588735436448,-59.2014475514635,08
2832,2020-08-01,Tierra del Fuego,126.0,1.0,-82.52151781220999,-50.7427486049785,08
1268,2020-08-01,Formosa,2.0,1.0,-24.894972594871,-59.9324405800872,08
396,2020-08-01,CABA,2534.0,55.0,-34.6144934119689,-58.4458563545429,08
635,2020-08-01,Chaco,84.0,2.0,-26.3864309061226,-60.76583074386029,08
1300,2020-08-01,Jujuy,65.0,6.0,-23.3200784211351,-65.7642522180337,08
2617,2020-08-02,Santa Fe,140.0,1.0,-30.7069271588117,-60.9498369430241,08
2061,2020-08-02,Río Negro,185.0,2.0,-40.4057957178801,-67.229329893694,08
1891,2020-08-02,Neuquén,78.0,2.0,-38.641757582459896,-70.1185705180601,08
137,2020-08-02,Buenos Aires,5901.0,154.0,-36.6769415180527,-60.55883198157189,08
1301,2020-08-02,Jujuy,57.0,6.0,-23.3200784211351,-65.7642522180337,08
960,2020-08-02,Córdoba,186.0,1.0,-32.142932663607,-63.8017532741662,08
397,2020-08-02,CABA,2320.0,79.0,-34.6144934119689,-58.4458563545429,08
1660,2020-08-02,Mendoza,71.0,7.0,-34.6298873058957,-68.58312281837979,08
2471,2020-08-02,Santa Cruz,80.0,1.0,-48.8154851827063,-69.95576216719729,08
636,2020-08-02,Chaco,85.0,6.0,-26.3864309061226,-60.76583074386029,08
2200,2020-08-02,Salta,20.0,1.0,-24.2991344492002,-64.8144629600627,08
1157,2020-08-02,Entre Ríos,128.0,3.0,-32.0588735436448,-59.2014475514635,08
1500,2020-08-03,La Rioja,7.0,2.0,-29.685776298315,-67.18173596944321,08
398,2020-08-03,CABA,2767.0,59.0,-34.6144934119689,-58.4458563545429,08
1302,2020-08-03,Jujuy,98.0,6.0,-23.3200784211351,-65.7642522180337,08
637,2020-08-03,Chaco,85.0,5.0,-26.3864309061226,-60.76583074386029,08
1892,2020-08-03,Neuquén,98.0,1.0,-38.641757582459896,-70.1185705180601,08
2201,2020-08-03,Salta,44.0,2.0,-24.2991344492002,-64.8144629600627,08
1661,2020-08-03,Mendoza,118.0,3.0,-34.6298873058957,-68.58312281837979,08
1158,2020-08-03,Entre Ríos,183.0,1.0,-32.0588735436448,-59.2014475514635,08
1820,2020-08-03,Misiones,8.0,2.0,-26.8753965086829,-54.6516966230371,08
961,2020-08-03,Córdoba,207.0,3.0,-32.142932663607,-63.8017532741662,08
2062,2020-08-03,Río Negro,191.0,2.0,-40.4057957178801,-67.229329893694,08
138,2020-08-03,Buenos Aires,7193.0,162.0,-36.6769415180527,-60.55883198157189,08
1303,2020-08-04,Jujuy,110.0,12.0,-23.3200784211351,-65.7642522180337,08
2945,2020-08-04,Tucumán,48.0,1.0,-26.947800183078602,-65.3647579441481,08
1821,2020-08-04,Misiones,6.0,1.0,-26.8753965086829,-54.6516966230371,08
2618,2020-08-04,Santa Fe,172.0,1.0,-30.7069271588117,-60.9498369430241,08
1501,2020-08-04,La Rioja,6.0,1.0,-29.685776298315,-67.18173596944321,08
399,2020-08-04,CABA,2302.0,57.0,-34.6144934119689,-58.4458563545429,08
139,2020-08-04,Buenos Aires,6206.0,146.0,-36.6769415180527,-60.55883198157189,08
1662,2020-08-04,Mendoza,98.0,4.0,-34.6298873058957,-68.58312281837979,08
2063,2020-08-04,Río Negro,190.0,3.0,-40.4057957178801,-67.229329893694,08
962,2020-08-04,Córdoba,178.0,1.0,-32.142932663607,-63.8017532741662,08
638,2020-08-04,Chaco,79.0,2.0,-26.3864309061226,-60.76583074386029,08
2833,2020-08-04,Tierra del Fuego,131.0,1.0,-82.52151781220999,-50.7427486049785,08
2202,2020-08-05,Salta,62.0,2.0,-24.2991344492002,-64.8144629600627,08
1304,2020-08-05,Jujuy,83.0,4.0,-23.3200784211351,-65.7642522180337,08
1893,2020-08-05,Neuquén,96.0,2.0,-38.641757582459896,-70.1185705180601,08
2834,2020-08-05,Tierra del Fuego,89.0,1.0,-82.52151781220999,-50.7427486049785,08
400,2020-08-05,CABA,2351.0,69.0,-34.6144934119689,-58.4458563545429,08
639,2020-08-05,Chaco,95.0,2.0,-26.3864309061226,-60.76583074386029,08
140,2020-08-05,Buenos Aires,5931.0,156.0,-36.6769415180527,-60.55883198157189,08
